id,date,country_name,state/province,population,landslide_type,trigger,fatalities,month
34,2007-03-02,United States,Virginia,16000,Landslide,Rain,0.0,3.0
42,2007-03-22,United States,Ohio,17288,Landslide,Rain,0.0,3.0
56,2007-04-06,United States,Pennsylvania,15930,Landslide,Rain,0.0,4.0
59,2007-04-14,Canada,Quebec,42786,Riverbank collapse,Rain,0.0,4.0
61,2007-04-15,United States,Kentucky,6903,Landslide,Downpour,0.0,4.0
64,2007-04-20,United States,Kentucky,6903,Landslide,Rain,0.0,4.0
67,2007-04-24,United States,South Dakota,2540,Landslide,Rain,0.0,4.0
77,2007-05-21,Colombia,Risaralda,440118,Mudslide,Rain,13.0,5.0
105,2007-06-27,Ecuador,Zamora-Chinchipe,15276,Landslide,Downpour,0.0,6.0
106,2007-06-27,Ecuador,Loja,117796,Landslide,Downpour,0.0,6.0
107,2007-06-27,Ecuador,Pichincha,5114,Landslide,Downpour,0.0,6.0
109,2007-07-01,United States,Texas,42409,Landslide,Rain,0.0,7.0
115,2007-07-04,Mexico,Veracruz-Llave,1947,Landslide,Rain,7.0,7.0
119,2007-07-08,Canada,Ontario,812129,Landslide,Unknown,0.0,7.0
124,2007-07-13,Dominican Republic,Distrito Nacional,13456,Landslide,Unknown,0.0,7.0
138,2007-07-24,United States,Texas,175396,Landslide,Rain,0.0,7.0
165,2007-08-09,Guatemala,Guatemala,47247,Mudslide,Rain,5.0,8.0
174,2007-08-11,Jamaica,Portland,14400,Landslide,Rain,0.0,8.0
185,2007-08-14,United States,Colorado,2475,Mudslide,Rain,0.0,8.0
186,2007-08-17,Dominica,Saint Paul,702,Mudslide,Tropical cyclone,2.0,8.0
187,2007-08-18,United States,Minnesota,2868,Landslide,Rain,0.0,8.0
188,2007-08-18,United States,Wyoming,9520,Landslide,Rain,0.0,8.0
189,2007-08-18,United States,Minnesota,106769,Mudslide,Rain,0.0,8.0
193,2007-08-19,United States,Wisconsin,51320,Complex,Rain,0.0,8.0
194,2007-08-19,United States,Wisconsin,51320,Mudslide,Rain,0.0,8.0
197,2007-08-20,United States,West Virginia,1526,Mudslide,Rain,0.0,8.0
198,2007-08-21,Guatemala,Alta Verapaz,2006,Landslide,Tropical cyclone,0.0,8.0
199,2007-08-21,Guatemala,Izabal,18994,Landslide,Tropical cyclone,0.0,8.0
201,2007-08-23,Mexico,Puebla,1414,Mudslide,Tropical cyclone,6.0,8.0
224,2007-09-01,Trinidad and Tobago,Tobago,17000,Landslide,Tropical cyclone,0.0,9.0
225,2007-09-02,Mexico,Sinaloa,3191,Complex,Tropical cyclone,3.0,9.0
228,2007-09-03,United States,New Mexico,1788,Mudslide,Rain,0.0,9.0
229,2007-09-04,Nicaragua,Atlántico Norte,6315,Complex,Tropical cyclone,0.0,9.0
230,2007-09-05,El Salvador,Ahuachapán,7797,Mudslide,Tropical cyclone,0.0,9.0
235,2007-09-05,United States,Wyoming,1176,Landslide,Rain,0.0,9.0
236,2007-09-05,United States,Idaho,2689,Mudslide,Rain,0.0,9.0
238,2007-09-06,United States,Colorado,12088,Mudslide,Rain,0.0,9.0
249,2007-09-09,Costa Rica,Heredia,21947,Landslide,Rain,0.0,9.0
250,2007-09-09,Dominica,Saint George,16571,Landslide,Rain,0.0,9.0
268,2007-09-17,United States,Colorado,4518,Mudslide,Rain,0.0,9.0
277,2007-09-22,Guatemala,Guatemala,994938,Mudslide,Rain,3.0,9.0
284,2007-09-28,Mexico,Puebla,3761,Mudslide,Tropical cyclone,1.0,9.0
297,2007-10-08,Haiti,Artibonite,7294,Landslide,Downpour,0.0,10.0
299,2007-10-09,Costa Rica,San José,3072,Complex,Rain,4.0,10.0
301,2007-10-11,Costa Rica,Alajuela,7014,Mudslide,Rain,14.0,10.0
302,2007-10-11,Costa Rica,San José,26669,Landslide,Rain,10.0,10.0
303,2007-10-12,Haiti,Ouest,3951,Complex,Rain,23.0,10.0
304,2007-10-12,Jamaica,St. Elizabeth,1371,Complex,Rain,0.0,10.0
307,2007-10-13,Colombia,Cauca,9985,Mudslide,Continuous rain,24.0,10.0
314,2007-10-17,Jamaica,Saint Thomas,2382,Mudslide,Rain,0.0,10.0
323,2007-10-24,Costa Rica,Puntarenas,6540,Mudslide,Downpour,0.0,10.0
333,2007-10-29,Dominican Republic,San Cristóbal,66784,Mudslide,Tropical cyclone,3.0,10.0
334,2007-10-29,Haiti,Ouest,1234742,Complex,Tropical cyclone,0.0,10.0
339,2007-10-31,Jamaica,Saint Thomas,2634,Landslide,Tropical cyclone,1.0,10.0
340,2007-10-31,Jamaica,Saint Catherine,4085,Complex,Rain,0.0,10.0
341,2007-10-31,Jamaica,Saint Andrew,1088,Landslide,Tropical cyclone,0.0,10.0
342,2007-10-31,Mexico,Tabasco,4468,Landslide,Rain,18.0,10.0
343,2007-11-01,Dominican Republic,La Vega,3613,Complex,Tropical cyclone,68.0,11.0
346,2007-11-04,Mexico,Chiapas,3183,Mudslide,Rain,5.0,11.0
354,2007-11-12,Jamaica,Saint Ann,13671,Landslide,Rain,0.0,11.0
357,2007-11-17,Trinidad and Tobago,Eastern Tobago,0,Landslide,Rain,0.0,11.0
376,2007-11-30,United States,California,3117,Debris flow,Rain,0.0,11.0
386,2007-12-08,United States,Indiana,5042,Landslide,Rain,0.0,12.0
388,2007-12-11,Dominican Republic,Santiago,1200000,Landslide,Tropical cyclone,17.0,12.0
390,2007-12-11,Trinidad and Tobago,Sangre Grande,15968,Landslide,Tropical cyclone,3.0,12.0
391,2007-12-11,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,0.0,12.0
392,2007-12-11,Trinidad and Tobago,Eastern Tobago,0,Landslide,Tropical cyclone,0.0,12.0
393,2007-12-12,Puerto Rico,San Juan,418140,Landslide,Tropical cyclone,0.0,12.0
396,2007-12-16,United States,Pennsylvania,3174,Landslide,Rain,3.0,12.0
397,2007-12-19,Colombia,Tolima,4892,Landslide,Rain,0.0,12.0
403,2008-01-01,United States,Pennsylvania,4020,Landslide,Rain,0.0,1.0
414,2008-01-06,United States,California,42808,Landslide,Rain,0.0,1.0
417,2008-01-07,Mexico,Baja California,1376457,Landslide,Rain,1.0,1.0
418,2008-01-07,United States,California,59518,Landslide,Rain,0.0,1.0
436,2008-01-28,United States,California,42808,Landslide,Rain,0.0,1.0
446,2008-02-05,United States,Pennsylvania,1728,Landslide,Rain,0.0,2.0
449,2008-02-09,United States,Pennsylvania,3451,Landslide,Rain,0.0,2.0
468,2008-02-28,Ecuador,Napo,7309,Landslide,Rain,7.0,2.0
469,2008-03-04,United States,Pennsylvania,3165,Landslide,Rain,0.0,3.0
472,2008-03-05,Peru,Huanuco,53177,Landslide,Rain,7.0,3.0
476,2008-03-09,United States,New York,2620,Landslide,Rain,0.0,3.0
477,2008-03-10,United States,Pennsylvania,3294,Landslide,Rain,0.0,3.0
479,2008-03-14,United States,Ohio,5091,Mudslide,Rain,0.0,3.0
480,2008-03-16,United States,Ohio,4741,Landslide,Rain,0.0,3.0
485,2008-03-24,United States,Ohio,3541,Landslide,Rain,0.0,3.0
487,2008-03-28,United States,Kentucky,4407,Landslide,Rain,0.0,3.0
489,2008-04-01,Ecuador,Pichincha,1399814,Landslide,Rain,0.0,4.0
491,2008-04-01,United States,Illinois,8465,Landslide,Rain,0.0,4.0
494,2008-04-08,United States,Pennsylvania,13470,Landslide,Rain,0.0,4.0
497,2008-04-11,Peru,Ancash,5044,Landslide,Rain,0.0,4.0
498,2008-04-11,United States,Wisconsin,2200,Landslide,Unknown,0.0,4.0
499,2008-04-13,United States,Colorado,6447,Mudslide,Rain,0.0,4.0
501,2008-04-16,Jamaica,Saint Ann,9450,Mudslide,Rain,0.0,4.0
506,2008-04-20,Haiti,Ouest,1234742,Mudslide,Rain,3.0,4.0
509,2008-04-25,United States,Minnesota,27592,Mudslide,Rain,0.0,4.0
514,2008-04-29,United States,New Hampshire,1813,Rockfall,Rain,0.0,4.0
515,2008-04-29,United States,New Hampshire,1142,Mudslide,Rain,0.0,4.0
530,2008-05-09,United States,Virginia,1698,Mudslide,Downpour,0.0,5.0
532,2008-05-12,United States,West Virginia,1638,Rockfall,Rain,0.0,5.0
546,2008-05-20,United States,Kentucky,5723,Mudslide,Rain,0.0,5.0
